gene	biotype
AC005375.1	miRNA
AC005387.2	antisense
AC005387.3	antisense
AC005391.2	antisense
AC005392.13	lincRNA
AC005394.1	lincRNA
AC005477.1	protein_coding
AC005481.5	protein_coding
AC005484.5	processed_transcript
AC005487.2	lincRNA
AC005488.1	protein_coding
AC005493.1	protein_coding
AC005498.3	lincRNA
AC005498.4	lincRNA
AC005513.1	miRNA
AC005518.2	sense_intronic
AC005519.4	sense_overlapping
AC005522.7	lincRNA
AC005523.2	antisense
AC005523.3	lincRNA
AC005532.5	processed_transcript
AC005534.8	antisense
AC005537.2	processed_transcript
AC005538.5	antisense
AC005540.3	antisense
AC005544.1	protein_coding
AC005546.2	lincRNA
AC005549.1	miRNA
AC005549.2	miRNA
AC005549.3	protein_coding
AC005550.3	antisense
AC005550.4	lincRNA
AC005550.5	lincRNA
AC005559.2	antisense
AC005562.1	processed_transcript
AC005592.1	lincRNA
AC005592.2	antisense
AC005592.3	lincRNA
AC005594.3	antisense
AC005597.1	antisense
AC005606.14	lincRNA
AC005606.15	lincRNA
AC005606.1	protein_coding
AC005609.1	protein_coding
AC005614.3	antisense
AC005614.5	processed_transcript
AC005616.1	lincRNA
AC005616.2	lincRNA
AC005618.6	lincRNA
AC005621.1	miRNA
AC005624.2	lincRNA
AC005625.1	antisense
AC005631.1	miRNA
AC005682.5	processed_transcript
AC005682.8	lincRNA
AC005686.1	miRNA
AC005701.1	miRNA
AC005702.1	miRNA
AC005702.2	miRNA
AC005702.3	miRNA
AC005702.4	miRNA
AC005703.2	lincRNA
AC005703.3	lincRNA
AC005725.1	miRNA
AC005740.5	antisense
AC005740.6	antisense
AC005754.7	antisense
AC005754.8	lincRNA
AC005757.6	antisense
AC005757.7	lincRNA
AC005772.2	lincRNA
AC005775.2	antisense
AC005779.2	protein_coding
AC005780.1	lincRNA
AC005783.1	miRNA
AC005785.2	processed_transcript
AC005786.5	lincRNA
AC005786.7	antisense
AC005789.11	lincRNA
AC005789.9	antisense
AC005808.3	lincRNA
AC005841.1	protein_coding
AC005863.1	lincRNA
AC005863.2	lincRNA
AC005926.1	miRNA
AC005932.1	antisense
AC005943.4	processed_transcript
AC005943.5	lincRNA
AC005944.2	antisense
AC005954.3	sense_intronic
AC005954.4	antisense
AC006000.5	lincRNA
AC006003.3	sense_intronic
AC006004.1	antisense
AC006007.1	lincRNA
AC006014.1	protein_coding
AC006014.8	pseudogene
AC006019.3	antisense
AC006019.4	antisense
AC006026.13	antisense
AC006026.1	miRNA
AC006037.2	lincRNA
AC006041.1	lincRNA
AC006042.6	antisense
AC006042.7	antisense
AC006050.2	processed_transcript
AC006076.1	lincRNA
AC006080.1	miRNA
AC006115.1	miRNA
AC006115.3	antisense
AC006116.12	antisense
AC006116.15	sense_intronic
AC006116.17	antisense
AC006116.19	sense_intronic
AC006116.1	miRNA
AC006116.20	protein_coding
AC006116.21	lincRNA
AC006116.24	sense_intronic
AC006126.3	protein_coding
AC006126.4	lincRNA
AC006129.1	lincRNA
AC006129.2	lincRNA
AC006129.4	lincRNA
AC006130.1	miRNA
AC006130.3	antisense
AC006132.1	protein_coding
AC006145.1	miRNA
AC006150.1	antisense
AC006150.2	miRNA
AC006156.1	protein_coding
AC006159.3	lincRNA
AC006159.4	antisense
AC006159.5	antisense
AC006160.5	antisense
AC006196.1	lincRNA
AC006227.1	lincRNA
AC006262.10	antisense
AC006262.4	lincRNA
AC006262.5	lincRNA
AC006262.6	processed_transcript
AC006272.1	lincRNA
AC006272.2	lincRNA
AC006273.4	lincRNA
AC006273.5	lincRNA
AC006273.7	lincRNA
AC006277.2	antisense
AC006296.1	lincRNA
AC006296.2	lincRNA
AC006322.1	miRNA
AC006328.1	miRNA
AC006369.2	antisense
AC006369.3	lincRNA
AC006371.1	miRNA
AC006372.1	protein_coding
AC006372.4	lincRNA
AC006372.5	lincRNA
AC006372.6	antisense
AC006373.1	lincRNA
AC006377.1	miRNA
AC006378.2	antisense
AC006380.1	miRNA
AC006380.3	lincRNA
AC006432.1	miRNA
AC006435.1	protein_coding
AC006445.8	lincRNA
AC006449.1	protein_coding
AC006452.1	miRNA
AC006455.1	protein_coding
AC006458.3	lincRNA
AC006460.2	antisense
AC006480.1	miRNA
AC006481.1	lincRNA
AC006482.1	lincRNA
AC006483.1	miRNA
AC006486.1	protein_coding
AC006486.9	protein_coding
AC006487.1	miRNA
AC006534.1	miRNA
AC006534.2	miRNA
AC006538.1	sense_intronic
AC006538.4	protein_coding
AC006539.1	miRNA
AC006547.13	antisense
AC006547.14	protein_coding
AC006547.15	antisense
AC006547.8	antisense
AC006552.1	lincRNA
AC006557.1	miRNA
AC006926.1	miRNA
AC006942.4	antisense
AC006946.15	protein_coding
AC006946.16	lincRNA
AC006946.17	lincRNA
AC006947.1	sense_intronic
AC006953.1	miRNA
AC006960.7	antisense
AC006967.1	protein_coding
AC006988.1	miRNA
AC006994.2	antisense
AC006994.3	miRNA
AC006995.8	pseudogene
AC007003.1	processed_transcript
AC007009.1	antisense
AC007009.2	miRNA
AC007025.1	miRNA
AC007036.4	sense_intronic
AC007036.5	sense_overlapping
AC007036.6	lincRNA
AC007038.7	antisense
AC007040.11	protein_coding
AC007040.1	miRNA
AC007040.2	miRNA
AC007040.3	miRNA
AC007040.5	lincRNA
AC007040.6	antisense
AC007040.7	antisense
AC007040.8	antisense
AC007041.1	miRNA
AC007050.17	antisense
AC007050.1	miRNA
AC007056.1	miRNA
AC007064.24	lincRNA
AC007078.4	antisense
AC007091.1	lincRNA
AC007092.1	lincRNA
AC007096.1	miRNA
AC007098.1	antisense
AC007099.1	antisense
AC007099.2	antisense
AC007106.1	lincRNA
AC007114.1	miRNA
AC007126.1	lincRNA
AC007128.1	antisense
AC007131.1	lincRNA
AC007131.2	lincRNA
AC007131.3	miRNA
AC007161.5	lincRNA
AC007163.3	lincRNA
AC007163.6	antisense
AC007179.1	lincRNA
AC007179.2	miRNA
AC007182.6	antisense
AC007192.6	antisense
AC007193.10	antisense
AC007193.6	lincRNA
AC007193.8	antisense
AC007193.9	antisense
AC007204.1	protein_coding
AC007204.2	lincRNA
AC007216.1	miRNA
AC007216.2	protein_coding
AC007228.11	antisense
AC007228.5	lincRNA
AC007228.9	lincRNA
AC007241.1	miRNA
AC007242.1	miRNA
AC007246.3	antisense
AC007249.3	lincRNA
AC007250.4	lincRNA
AC007251.2	lincRNA
AC007255.8	antisense
AC007271.3	antisense
AC007276.5	pseudogene
AC007277.3	antisense
AC007278.2	sense_intronic
AC007278.3	sense_intronic
AC007283.5	lincRNA
AC007285.6	antisense
AC007285.7	antisense
AC007292.3	antisense
AC007292.4	antisense
AC007292.6	antisense
AC007292.7	antisense
AC007308.6	antisense
AC007308.7	antisense
AC007317.1	lincRNA
AC007319.1	antisense
AC007327.5	antisense
AC007333.1	miRNA
AC007339.1	miRNA
AC007349.4	lincRNA
AC007349.5	lincRNA
AC007349.7	antisense
AC007353.1	miRNA
AC007358.1	miRNA
AC007359.6	lincRNA
AC007362.3	antisense
AC007364.1	lincRNA
AC007365.1	lincRNA
AC007365.2	miRNA
AC007365.3	lincRNA
AC007375.1	protein_coding
AC007377.1	protein_coding
AC007381.2	lincRNA
AC007381.3	lincRNA
AC007382.1	protein_coding
AC007383.3	lincRNA
AC007383.4	antisense
AC007386.2	lincRNA
AC007386.4	antisense
AC007389.3	lincRNA
AC007389.4	miRNA
AC007390.5	protein_coding
AC007391.2	lincRNA
AC007392.3	lincRNA
AC007392.4	lincRNA
AC007395.3	antisense
AC007401.2	protein_coding
AC007402.1	miRNA
AC007403.1	lincRNA
AC007403.2	lincRNA
AC007403.3	lincRNA
AC007405.2	protein_coding
AC007405.4	lincRNA
AC007405.6	lincRNA
AC007405.8	antisense
AC007421.1	protein_coding
AC007422.1	lincRNA
AC007431.1	protein_coding
AC007435.1	miRNA
AC007436.1	miRNA
AC007450.1	miRNA
AC007461.1	protein_coding
AC007461.2	lincRNA
AC007463.2	lincRNA
AC007464.1	lincRNA
AC007486.1	miRNA
AC007528.1	miRNA
AC007535.1	miRNA
AC007551.1	miRNA
AC007551.3	lincRNA
AC007556.3	antisense
AC007557.1	protein_coding
AC007557.2	antisense
AC007557.3	lincRNA
AC007557.4	antisense
AC007560.2	miRNA
AC007563.1	antisense
AC007563.3	lincRNA
AC007563.5	antisense
AC007566.10	antisense
AC007567.1	miRNA
AC007611.1	miRNA
AC007620.3	antisense
AC007631.1	lincRNA
AC007652.1	lincRNA
AC007679.3	antisense
AC007680.2	lincRNA
AC007682.1	lincRNA
AC007682.2	miRNA
AC007682.3	miRNA
AC007731.1	miRNA
AC007740.1	antisense
AC007743.1	antisense
AC007750.5	antisense
AC007773.1	miRNA
AC007773.2	antisense
AC007773.3	protein_coding
AC007787.2	antisense
AC007795.1	lincRNA
