region	signal	gene	N_SNPs_signal	gene_score	gene_inquisit_level
BCAC_FM_49	signal2	ZMIZ1	17	1	2
BCAC_FM_5	signal1	MTMR11	4	1	2
BCAC_FM_50	signal2	TCF7L2	42	1	2
BCAC_FM_51	signal3	FGFR2	1	2	1
BCAC_FM_51	signal4	FGFR2	3	2	1
BCAC_FM_57	signal2	CCDC91	375	1	2
BCAC_FM_6	signal1	LGR6	27	1	2
BCAC_FM_60	signal1	BRCA2	5	2	1
BCAC_FM_61	signal1	PAX9	19	1	2
BCAC_FM_62	signal1	RAD51B	8	1	2
BCAC_FM_62	signal2	RAD51B	4	1	2
BCAC_FM_63	signal1	CCDC88C	3	1	2
BCAC_FM_64	signal1	RIN3	34	2	1
BCAC_FM_66	signal1	FTO	6	1	2
BCAC_FM_66	signal2	FTO	21	1	2
BCAC_FM_67	signal1	CDYL2	14	1	2
BCAC_FM_68	signal1	ATAD5	24	1	2
BCAC_FM_69	signal1	STXBP4	34	1	2
BCAC_FM_7	signal1	MDM4	6	1	2
BCAC_FM_71	signal1	AQP4-AS1	4	1	2
BCAC_FM_71	signal1	CHST9	4	1	2
BCAC_FM_71	signal3	KCTD1	31	1	2
BCAC_FM_72	signal1	SETBP1	38	2	1
BCAC_FM_72	signal2	SLC14A2	3	1	2
BCAC_FM_73	CIMBA	ANKLE1	10	2	1
BCAC_FM_73	CIMBA	BABAM1	10	1	2
BCAC_FM_73	signal1	ABHD8	16	1	2
BCAC_FM_74	signal1	ELL	56	1	2
BCAC_FM_74	signal1	SSBP4	56	1	2
BCAC_FM_75	signal1	KCNN4	10	1	2
BCAC_FM_76	signal2	NRIP1	29	1	2
BCAC_FM_77	signal1	CHEK2	3	2	1
BCAC_FM_77	signal2	CHEK2	2	2	1
BCAC_FM_77	signal3	CHEK2	59	2	1
BCAC_FM_77	signal3	TTC28	59	1	2
BCAC_FM_78	signal1	MKL1	196	1	2
BCAC_FM_79	signal1	WDR43	81	1	2
BCAC_FM_8	signal1	EXO1	2	2	1
BCAC_FM_82	signal1	CILP2	162	1	2
BCAC_FM_82	signal1	GATAD2A	162	1	2
BCAC_FM_82	signal1	MAU2	162	1	2
BCAC_FM_82	signal1	NDUFA13	162	1	2
BCAC_FM_82	signal1	SUGP1	162	1	2
BCAC_FM_82	signal1	TM6SF2	162	1	2
BCAC_FM_82	signal1	YJEFN3	162	1	2
BCAC_FM_84	signal1	KLHDC7A	12	1	2
BCAC_FM_86	signal1	HELQ	84	1	2
BCAC_FM_86	signal1	MRPS18C	84	1	2
BCAC_FM_88	signal1	CUX1	6	2	1
BCAC_FM_89	signal1	PIDD1	19	2	1
BCAC_FM_92	signal1	MCM8	1	1	2
BCAC_FM_96	signal1	LRRC41	11	1	2
BCAC_FM_99	signal1	FAM46C	61	1	2
